Date,BBAS3,BBDC4,ITUB4,SANB11
2005-01-03,6.052985668182372,,4.567183017730713,
2005-01-04,5.906229496002197,,4.511099338531494,
2005-01-05,5.814555168151856,,4.46632194519043,
2005-01-06,5.741147518157959,,4.410356044769287,
2005-01-07,5.6861228942871085,,4.404759407043457,
2005-01-10,5.539418697357178,,4.432629585266113,
2005-01-11,5.557744026184082,,4.3734188079833975,
2005-01-12,5.5944437980651855,,4.30961275100708,
2005-01-13,5.587071418762207,,4.432744026184082,
2005-01-14,5.6861228942871085,,4.455244064331055,
2005-01-17,5.667798042297362,,4.387969493865967,
2005-01-18,5.713634014129639,,4.387969493865967,
2005-01-19,5.8879075050354,,4.46632194519043,
2005-01-20,5.704501152038574,,4.387969493865967,
2005-01-21,5.5944437980651855,,4.3599839210510245,
2005-01-24,5.741147518157959,,4.376777172088623,
2005-01-26,5.755841255187987,,4.2983055114746085,
2005-01-27,5.649474143981934,,4.231142997741698,
2005-01-28,5.56693172454834,,4.242451190948486,
2005-01-31,5.667798042297362,,4.365579605102538,
2005-02-01,5.5174055099487305,,4.456814765930176,
2005-02-02,5.814555168151856,,4.578262805938722,
2005-02-03,5.9979591369628915,,4.734976291656494,
2005-02-04,6.2749128341674805,,4.9028825759887695,
2005-02-09,6.328124046325684,,4.858108997344972,
2005-02-10,6.309794425964356,,4.846914291381836,
2005-02-11,6.27309513092041,,4.845799446105957,
2005-02-14,6.144717693328857,,5.014708995819092,
2005-02-15,6.511524677276611,,5.070676803588867,
2005-02-16,6.421670436859131,,4.970155239105225,
2005-02-17,6.6032586097717285,,5.0036282539367685,
2005-02-18,6.786663055419923,,4.8425469398498535,
2005-02-21,6.531725883483888,,4.82453203201294,
2005-02-22,6.135527610778809,,4.9420599937438965,
2005-02-23,5.891592979431152,,4.947659969329834,
2005-02-24,6.034664630889893,,5.193926811218262,
2005-02-25,5.8897247314453125,,5.1267619132995605,
2005-02-28,5.6861228942871085,,5.037214279174805,
2005-03-01,5.5962629318237305,,5.070904731750488,
2005-03-02,5.649474143981934,,5.126869201660156,
2005-03-03,5.6989946365356445,,5.317052364349365,
2005-03-04,5.741147518157959,,5.440188407897949,
2005-03-07,6.00896692276001,,5.4177961349487305,
2005-03-08,6.071310997009277,,5.404372215270996,
2005-03-09,5.924606800079347,,5.316943645477295,
2005-03-10,6.052985668182372,,5.289072513580322,
2005-03-11,5.9979591369628915,,5.261082172393799,
2005-03-14,5.897095203399657,,5.184967517852783,
2005-03-15,5.832877159118652,,5.135718822479248,
2005-03-16,5.7595272064208975,,5.21630859375,
2005-03-17,5.869582653045653,,5.261082172393799,
2005-03-18,5.85120153427124,,5.115568161010742,
2005-03-21,5.74483585357666,,4.947659969329834,
2005-03-22,5.612768650054932,,4.880502223968506,
2005-03-23,5.409169673919678,,4.7405738830566415,
2005-03-24,5.44768762588501,,4.947659969329834,
2005-03-28,5.21840763092041,,4.83012056350708,
2005-03-29,5.10835075378418,,4.723780632019043,
2005-03-30,5.280775547027588,,4.8021416664123535,
2005-03-31,5.429347515106201,,4.86930513381958,
2005-04-01,5.4568610191345215,,4.858108997344972,
2005-04-04,5.297283172607422,,4.8021416664123535,
2005-04-05,5.17072057723999,,4.796540260314941,
2005-04-06,5.192729949951172,,4.7909440994262695,
2005-04-07,5.21840763092041,,4.813334465026856,
2005-04-08,5.135865688323975,,4.779751777648926,
2005-04-11,4.989129543304443,,4.82453203201294,
2005-04-12,5.0808377265930185,,4.785346984863281,
2005-04-13,5.135865688323975,,4.7909440994262695,
2005-04-14,5.045989513397217,,4.678895950317383,
2005-04-15,4.9524431228637695,,4.60176944732666,
2005-04-18,5.135865688323975,,4.656620502471924,
2005-04-19,5.411003112792969,,4.768562316894531,
2005-04-20,5.411003112792969,,4.66445779800415,
2005-04-22,5.484374523162842,,4.8021416664123535,
2005-04-25,5.502717018127441,,4.835719585418701,
2005-04-26,5.502717018127441,,4.970048904418945,
2005-04-27,5.499046325683594,,5.048516750335693,
2005-04-28,5.346806526184082,,4.785346984863281,
2005-04-29,5.365148067474365,,4.947659969329834,
2005-05-02,5.355976104736328,,4.958851337432861,
2005-05-03,5.429347515106201,,4.839195251464844,
2005-05-04,5.71000337600708,,5.048402786254883,
2005-05-05,5.684305667877197,,4.981242656707764,
2005-05-06,5.632965087890625,,4.958851337432861,
2005-05-09,5.539418697357178,,4.947659969329834,
2005-05-10,5.411003112792969,,4.779751777648926,
2005-05-11,5.4660301208496085,,4.735090255737305,
2005-05-12,5.484374523162842,,4.611849308013916,
2005-05-13,5.4568610191345215,,4.667818069458008,
2005-05-16,5.546737194061278,,4.734976291656494,
2005-05-17,5.530229568481445,,4.757368087768555,
2005-05-18,5.539418697357178,,4.7908358573913565,
2005-05-19,5.548552989959717,,4.785346984863281,
2005-05-20,5.50452995300293,,4.757368087768555,
2005-05-23,5.511904716491699,,4.701395034790039,
2005-05-24,5.548552989959717,,4.690199851989746,
2005-05-25,5.539418697357178,,4.701395034790039,
2005-05-27,5.684305667877197,,4.734869003295898,
2005-05-30,5.667798042297362,,4.7740440368652335,
2005-05-31,5.631091594696045,,4.746169567108153,
2005-06-01,5.667798042297362,,4.880271434783936,
2005-06-02,5.777851104736327,,5.149143695831299,
2005-06-03,5.906229496002197,,5.139294624328613,
2005-06-06,5.695311546325684,,5.081986427307129,
2005-06-07,5.574251174926758,,4.981242656707764,
2005-06-08,5.429347515106201,,4.986841678619385,
2005-06-09,5.300949096679688,,4.958851337432861,
2005-06-10,5.365148067474365,,4.947659969329834,
2005-06-13,5.291779041290283,,4.930872440338135,
2005-06-14,5.6384687423706055,,4.958851337432861,
2005-06-15,5.585257530212402,,4.886094570159912,
2005-06-16,5.704501152038574,,4.86930513381958,
2005-06-17,5.920920848846436,,4.909602165222168,
2005-06-20,5.944749355316162,,4.891686916351318,
2005-06-21,5.869582653045653,,4.824639320373535,
2005-06-22,5.785172939300537,,4.843555450439453,
